Datum;Snowfall;Clouds;Sunshine ;Stadt
20.06.17;0.00;40.67;446.44;Hamburg
21.06.17;0.00;28.55;750.49;Hamburg
22.06.17;0.00;85.67;125.08;Hamburg
23.06.17;0.00;89.58;148.09;Hamburg
24.06.17;0.00;100;0.00;Hamburg
25.06.17;0.00;85.88;101.97;Hamburg
26.06.17;0.00;48.54;546.85;Hamburg
27.06.17;0.00;39.38;626.00;Hamburg
28.06.17;0.00;100;0.00;Hamburg
29.06.17;0.00;88.73;0.00;Hamburg
30.06.17;0.00;100;0.00;Hamburg
01.07.17;0.00;80.42;268.29;Hamburg
02.07.17;0.00;64.17;321.56;Hamburg
03.07.17;0.00;70.67;230.86;Hamburg
04.07.17;0.00;70.58;310.74;Hamburg
05.07.17;0.00;71.38;407.87;Hamburg
06.07.17;0.00;52.23;673.61;Hamburg
07.07.17;0.00;88.96;157.66;Hamburg
08.07.17;0.00;53.40;592.37;Hamburg
09.07.17;0.00;44.03;792.52;Hamburg
10.07.17;0.00;77.38;158.60;Hamburg
11.07.17;0.00;79.67;106.58;Hamburg
12.07.17;0.00;74.92;160.50;Hamburg
13.07.17;0.00;36.29;696.36;Hamburg
14.07.17;0.00;30.00;283.40;N팿nberg
15.07.17;0.00;100;532.53;N팿nberg
16.07.17;0.00;20.49;0.00;N팿nberg
17.07.17;0.00;50.00;822.96;N팿nberg
18.07.17;0.00;80.00;319.16;N팿nberg
19.07.17;0.00;48.16;545.29;Hamburg
20.07.17;0.00;86.83;M_r 83;Hamburg
21.07.17;0.00;22.40;821.81;Hamburg
22.07.17;0.00;55.79;206.64;Hamburg
23.07.17;0.00;65.62;396.43;Hamburg
24.07.17;0.00;87.36;174.51;Hamburg
25.07.17;0.00;100;0.00;Hamburg
26.07.17;0.00;63.81;243.96;Hamburg
27.07.17;0.00;85.64;0.00;Hamburg
28.07.17;0.00;68.62;225.57;Hamburg
29.07.17;0.00;67.39;191.90;Hamburg
30.07.17;0.00;47.25;428.86;Hamburg
31.07.17;0.00;37.39;676.90;Hamburg
01.08.17;0.00;92.92;86.17;Hamburg
02.08.17;0.00;65.58;433.27;Hamburg
03.08.17;0.00;58.12;334.47;Hamburg
04.08.17;0.00;17.34;616.09;Hamburg
05.08.17;0.00;43.00;617.90;Hamburg
06.08.17;0.00;28.23;473.47;Hamburg
07.08.17;0.00;21.22;683.88;Hamburg
08.08.17;0.00;65.17;181.28;Hamburg
09.08.17;0.00;37.91;597.15;Hamburg
10.08.17;0.00;51.71;354.22;Hamburg
11.08.17;0.00;98.04;0.00;Hamburg
12.08.17;0.00;93.83;49.79;Hamburg
13.08.17;0.00;38.83;625.99;Hamburg
14.08.17;0.00;42.00;936.67;Hamburg
15.08.17;0.00;51.67;645.28;Hamburg
16.08.17;0.00;74.40;381.19;N팿nberg
17.08.17;0.00;30.30;207.90;N팿nberg
18.08.17;0.00;43.02;79.15;N팿nberg
19.08.17;0.00;34.38;692.55;N팿nberg
20.08.17;0.00;63.62;288.48;N팿nberg
21.08.17;0.00;52.33;417.32;N팿nberg
22.08.17;0.00;13.00;730.69;Hamburg
23.08.17;0.00;20.49;658.97;Hamburg
24.08.17;0.00;58.36;353.17;Hamburg
25.08.17;0.00;40.77;480.02;Hamburg
26.08.17;0.00;60.71;335.33;Hamburg
27.08.17;0.00;29.95;704.48;Hamburg
28.08.17;0.00;24.71;589.07;Hamburg
29.08.17;0.00;42.00;823.15;Hamburg
30.08.17;0.00;65.81;189.55;Hamburg
31.08.17;0.00;70.40;90.73;Hamburg
01.09.17;0.00;42.00;554.77;Hamburg
02.09.17;0.00;28.25;595.84;Hamburg
03.09.17;0.00;49.50;274.38;Hamburg
04.09.17;0.00;29.00;658.60;Hamburg
05.09.17;0.00;50.44;403.14;Hamburg
06.09.17;0.00;88.67;158.52;Hamburg
07.09.17;0.00;94.79;71.49;Hamburg
08.09.17;0.00;99.83;0.00;Hamburg
09.09.17;0.00;93.08;79.15;Hamburg
10.09.17;0.00;40.46;533.16;Hamburg
11.09.17;0.00;69.38;204.56;Hamburg
12.09.17;0.00;68.12;285.96;Hamburg
13.09.17;0.00;76.88;67.66;Hamburg
14.09.17;0.00;56.71;268.48;Hamburg
15.09.17;0.00;76.58;160.21;Hamburg
16.09.17;0.00;46.17;395.40;Hamburg
17.09.17;0.00;77.88;231.70;Hamburg
18.09.17;0.00;65.00;347.37;Hamburg
19.09.17;0.00;75.13;164.34;Hamburg
20.09.17;0.00;84.08;126.53;Hamburg
21.09.17;0.00;85.71;111.70;Hamburg
22.09.17;0.00;89.50;77.65;Hamburg
23.09.17;0.00;42.59;310.85;G_ttingen
24.09.17;0.00;80.00;225.97;G_ttingen
25.09.17;0.00;72.96;215.74;Hamburg
26.09.17;0.00;75.42;133.68;Hamburg
27.09.17;0.00;62.67;297.84;Hamburg
28.09.17;0.00;35.99;409.02;Hamburg
29.09.17;0.00;53.72;378.13;Hamburg
30.09.17;0.00;98.46;0.00;Hamburg
01.10.17;0.00;41.04;505.29;Hamburg
02.10.17;0.00;76.51;180.09;Hamburg
03.10.17;0.00;95.38;63.19;Hamburg
04.10.17;0.00;31.40;;Valldemossa
05.10.17;0.00;22.56;;Valldemossa
06.10.17;0.00;21.34;;Valldemossa
07.10.17;0.00;16.71;;Valldemossa
08.10.17;0.00;23.89;;Valldemossa
09.10.17;0.00;95.83;0.00;Hamburg
10.10.17;0.00;100;0.00;Hamburg
11.10.17;0.00;82.01;59.90;Hamburg
12.10.17;0.00;58.49;259.25;Hamburg
13.10.17;0.00;32.33;303.37;Hamburg
14.10.17;0.00;78.50;44.04;Hamburg
15.10.17;0.00;29.26;500.64;Hamburg
16.10.17;0.00;17.98;378.59;Hamburg
17.10.17;0.00;13.00;528.57;Hamburg
18.10.17;0.00;45.93;236.26;Hamburg
19.10.17;0.00;56.34;122.43;Hamburg
20.10.17;0.00;10.00;;Olbia
21.10.17;0.00;0.00;;Olbia
22.10.17;0.00;0.00;;Olbia
23.10.17;0.00;0.00;;La Caletta
24.10.17;0.00;2.00;;La Caletta
25.10.17;0.00;15.45;;Cala Gonone
26.10.17;0.00;20.45;;Cala Gonone
27.10.17;0.00;20.49;;Baunei
28.10.17;0.00;0.00;;Baunei
29.10.17;0.00;0.00;;Baunei
30.10.17;0.00;30.00;;Bosa
31.10.17;0.00;0.00;;Bosa
01.11.17;0.00;100;;Alghero
02.11.17;0.00;40.00;;Castelsardo
03.11.17;0.00;20.23;;Santa Teresa Gallura
04.11.17;0.00;10.00;;Palau
05.11.17;0.00;98.25;22.98;Hamburg
06.11.17;0.00;71.54;39.38;Hamburg
07.11.17;0.00;52.21;364.05;Hamburg
08.11.17;0.00;74.49;62.99;Hamburg
09.11.17;0.00;78.67;186.01;Hamburg
10.11.17;0.00;100;0.00;Hamburg
11.11.17;0.00;91.88;0.00;Hamburg
12.11.17;0.00;79.96;0.00;Hamburg
13.11.17;0.00;25.67;381.15;Hamburg
14.11.17;0.00;93.33;0.00;Hamburg
15.11.17;0.00;96.02;57.13;Hamburg
16.11.17;0.00;100;0.00;Hamburg
17.11.17;0.00;88.29;107.87;Hamburg
18.11.17;0.00;92.33;17.23;Hamburg
19.11.17;0.00;63.67;288.86;Hamburg
20.11.17;0.00;100;0.00;Hamburg
21.11.17;0.00;100;0.00;Hamburg
22.11.17;0.00;64.20;213.06;Hamburg
23.11.17;0.00;45.05;135.30;Hamburg
24.11.17;0.00;88.27;0.37;Hamburg
25.11.17;0.00;82.88;431.01;Hamburg
26.11.17;0.00;88.00;0.00;Hamburg
27.11.17;0.00;99.12;0.00;Hamburg
28.11.17;0.00;100;0.00;Hamburg
29.11.17;0.00;100;0.00;Hamburg
30.11.17;0.00;100;0.00;Hamburg
01.12.17;0.00;99.67;467.53;Hamburg
02.12.17;0.00;80.21;194.36;Hamburg
03.12.17;0.91;83.75;0.00;Hamburg
04.12.17;0.00;42.54;409.78;Hamburg
05.12.17;0.00;90.86;128.49;Hamburg
06.12.17;0.00;100;0.00;Hamburg
07.12.17;0.00;87.50;174.42;Hamburg
08.12.17;2,9;92.79;0.00;Hamburg
09.12.17;2,9;82.12;144.12;Hamburg
10.12.17;2,7;100;0.00;Bremen
11.12.17;2,5;86.85;61.92;Hamburg
12.12.17;3,2;100;0.00;Hamburg
13.12.17;3,2;96.58;13.81;Hamburg
14.12.17;0.42;94.08;22.98;Hamburg
15.12.17;;100.00;0.00;
16.12.17;;79.61;17.87;
17.12.17;;40.50;277.21;
18.12.17;;81.00;52.36;
19.12.17;;100.00;0.00;
20.12.17;;100.00;0.00;NUE
21.12.17;;79.50;59.05;NUE
22.12.17;;76.86;221.16;NUE
23.12.17;;100.00;0.00;NUE
24.12.17;;100.00;0.00;NUE
25.12.17;;100.00;0.00;NUE
26.12.17;;38.61;171.09;NUE
27.12.17;;92.12;0.00;NUE
28.12.17;;88.83;159.57;NUE
29.12.17;;79.54;181.99;NUE
30.12.17;;100.00;0.00;NUE
31.12.17;;94.92;0.00;
01.01.18;;92.17;112.34;
02.01.18;;100.00;0.00;
03.01.18;;100.00;0.00;
04.01.18;;100.00;0.00;
05.01.18;;100.00;0.00;
06.01.18;;95.50;0.00;
07.01.18;;36.62;326.10;
08.01.18;;0.20;395.17;
09.01.18;;35.75;348.84;
10.01.18;;69.50;78.51;
11.01.18;;100.00;0.00;
12.01.18;;100.00;0.00;
13.01.18;;54.38;198.53;
14.01.18;;0.00;408.96;
15.01.18;;54.67;95.31;
16.01.18;;100.00;0.00;
17.01.18;;85.33;194.79;
18.01.18;;100.00;0.00;
